"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","genome_build","GEO_Accession..exp.","Instrument","library_strategy","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","sex","Biomaterial_provider"
"269","SRR8370911","OTHER",284,262855818,"PRJNA511892","SAMN10645552",135704238,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181332","mm10","GSM3531420","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531420","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"270","SRR8370912","OTHER",294,253909088,"PRJNA511892","SAMN10645551",132164560,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181333","mm10","GSM3531421","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531421","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"271","SRR8370913","OTHER",291,137201185,"PRJNA511892","SAMN10645550",72076815,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181334","mm10","GSM3531422","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531422","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"272","SRR8370914","OTHER",291,304231979,"PRJNA511892","SAMN10645549",158022999,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181335","mm10","GSM3531423","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531423","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"273","SRR8370915","OTHER",289,189133886,"PRJNA511892","SAMN10645548",98410315,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180786","mm10","GSM3531424","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531424","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"274","SRR8370916","OTHER",296,255187765,"PRJNA511892","SAMN10645547",134295311,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180787","mm10","GSM3531425","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531425","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"275","SRR8370917","OTHER",290,141605337,"PRJNA511892","SAMN10645546",74538073,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180788","mm10","GSM3531426","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531426","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"276","SRR8370918","OTHER",288,286966688,"PRJNA511892","SAMN10645545",149261363,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180789","mm10","GSM3531427","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531427","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"277","SRR8370919","OTHER",290,280398580,"PRJNA511892","SAMN10645592",144338391,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180790","mm10","GSM3531428","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531428","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"278","SRR8370920","OTHER",293,423338890,"PRJNA511892","SAMN10645591",219365523,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180791","mm10","GSM3531429","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531429","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"279","SRR8370921","OTHER",290,638683032,"PRJNA511892","SAMN10645590",329374422,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180792","mm10","GSM3531430","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531430","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"280","SRR8370922","OTHER",286,214939419,"PRJNA511892","SAMN10645589",111102118,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180793","mm10","GSM3531431","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531431","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"281","SRR8370923","OTHER",290,408854577,"PRJNA511892","SAMN10645588",211085806,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180858","mm10","GSM3531432","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531432","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"284","SRR8370926","OTHER",286,211806358,"PRJNA511892","SAMN10645585",113693967,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180861","mm10","GSM3531435","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531435","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"285","SRR8370927","OTHER",294,219355511,"PRJNA511892","SAMN10645584",112893020,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180862","mm10","GSM3531436","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531436","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
